date,in_bed_start,in_bed_end,asleep_minutes,in_bed_minutes,source_name
2026-03-15,2026-03-15T23:51:55+01:00,2026-03-16T01:19:53+01:00,87.96666666666667,400.31666666666666,Apple Watch
2026-03-16,2026-03-16T00:40:03+01:00,2026-03-17T03:47:03+01:00,610.6833333333334,486.28333333333336,Apple Watch
2026-03-17,2026-03-17T01:37:05+01:00,2026-03-17T03:11:53+01:00,94.8,356.31666666666666,Apple Watch
2026-03-18,2026-03-18T00:24:37+01:00,2026-03-19T00:04:19+01:00,347.2,376.5833333333333,Apple Watch
2026-03-19,2026-03-19T00:00:35+01:00,2026-03-19T03:51:01+01:00,237.15,458.8666666666667,Apple Watch
2026-03-20,2026-03-20T01:54:03+01:00,2026-03-20T05:11:33+01:00,360.95,437.1166666666667,Apple Watch
2026-03-21,2026-03-21T00:09:42+01:00,2026-03-21T06:00:47+01:00,393.76666666666665,497.6666666666667,Apple Watch
2026-03-22,2026-03-22T00:11:21+01:00,2026-03-22T06:30:41+01:00,442.8166666666666,443.18333333333334,Apple Watch
2026-03-23,2026-03-23T00:52:15+01:00,2026-03-23T04:20:22+01:00,379.6666666666667,417.6,Apple Watch
2026-03-24,2026-03-24T00:20:28+01:00,2026-03-25T01:17:06+01:00,552.4333333333333,304.1333333333333,Apple Watch
2026-03-25,2026-03-25T00:08:05+01:00,2026-03-25T00:53:48+01:00,45.71666666666667,346.81666666666666,Apple Watch
2026-03-26,2026-03-26T00:51:40+01:00,2026-03-27T01:43:09+01:00,439.91666666666663,347.4,Apple Watch
2026-03-27,2026-03-27T00:45:07+01:00,2026-03-28T02:10:29+01:00,292.2166666666667,379.8,Apple Watch
2026-03-28,2026-03-28T00:54:07+01:00,2026-03-28T02:08:38+01:00,74.51666666666667,370.7,Apple Watch
2026-03-29,2026-03-29T01:11:38+01:00,2026-03-29T05:27:24+01:00,286.01666666666665,439.8333333333333,Apple Watch
2026-03-30,2026-03-30T00:12:42+01:00,2026-03-30T03:50:31+01:00,422.65,406.95,Apple Watch
2026-03-31,2026-03-31T00:16:46+01:00,2026-03-31T03:31:47+01:00,339.45,414.8333333333333,Apple Watch
2026-04-01,2026-04-01T00:07:16+01:00,2026-04-02T00:59:52+01:00,411.93333333333334,461.6,Apple Watch
2026-04-02,2026-04-02T00:38:07+01:00,2026-04-03T00:48:36+01:00,401.1166666666667,387.6166666666667,Apple Watch
2026-04-03,2026-04-03T00:09:23+01:00,2026-04-04T02:30:04+01:00,521.0333333333333,422.71666666666664,Apple Watch
2026-04-04,2026-04-04T00:11:37+01:00,2026-04-04T01:19:52+01:00,68.25,540.85,Apple Watch
2026-04-05,2026-04-05T00:01:45+01:00,2026-04-06T02:10:46+01:00,641.1,375.1666666666667,Apple Watch
2026-04-06,2026-04-06T00:07:36+01:00,2026-04-06T01:57:50+01:00,141.18333333333334,362.51666666666665,Apple Watch
2026-04-07,2026-04-07T00:02:14+01:00,2026-04-07T03:28:06+01:00,297.76666666666665,447.55,Apple Watch
2026-04-08,2026-04-08T00:51:25+01:00,2026-04-08T04:52:45+01:00,419.1666666666667,433.2,Apple Watch
2026-04-09,2026-04-09T00:26:14+01:00,2026-04-09T04:38:14+01:00,326.25,382.8,Apple Watch
2026-04-10,2026-04-10T00:27:56+01:00,2026-04-11T01:02:24+01:00,525.55,361.6166666666667,Apple Watch
2026-04-11,2026-04-11T00:28:06+01:00,2026-04-11T01:14:57+01:00,46.85,491.56666666666666,Apple Watch
2026-04-12,2026-04-12T00:06:27+01:00,2026-04-13T00:40:10+01:00,450.4833333333333,387.71666666666664,Apple Watch
2026-04-13,2026-04-13T00:26:26+01:00,2026-04-13T03:25:22+01:00,224.55,380.18333333333334,Apple Watch
2026-04-14,2026-04-14T01:19:34+01:00,2026-04-14T05:08:29+01:00,314.3333333333333,314.3333333333333,Apple Watch
